marital_status,daytime_attendance,previous_qualification,previous_qualification_grade,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_update,gender,scholarship_holder,age,international,sem_one_grade,sem_two_grade,target
1,1,1,122,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,Dropout
1,1,1,160,1,3,3,3,142.5,1,0,0,0,1,0,19,0,14,13.66666667,Graduate
1,1,1,122,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,0,Dropout
1,1,1,122,38,37,5,3,119.6,1,0,0,1,0,0,20,0,13.42857143,12.4,Graduate
2,0,1,100,37,38,9,9,141.5,0,0,0,1,0,0,45,0,12.33333333,13,Graduate
2,0,19,133.1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,11.85714286,11.5,Graduate
1,1,1,142,19,38,7,10,128.4,1,0,0,1,0,1,18,0,13.3,14.345,Graduate
1,1,1,119,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,0,Dropout
1,1,1,137,1,1,9,9,129.3,0,0,0,1,0,1,21,1,13.875,14.14285714,Graduate
1,1,1,138,1,19,4,7,123,1,0,1,0,0,0,18,0,11.4,13.5,Dropout
1,1,1,139,38,19,5,7,130.6,1,0,0,1,0,0,18,0,12.33333333,14.2,Graduate
1,1,1,136,19,38,9,9,119.3,1,0,0,1,0,1,18,0,13.21428571,13.21428571,Graduate
1,1,1,133,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,0,Dropout
1,1,42,110,1,1,4,7,111.8,1,0,0,1,0,1,21,0,10.57142857,11,Graduate
1,1,1,149,38,37,5,5,137.1,1,0,0,1,0,1,18,0,13.25,12,Graduate
1,1,1,127,19,37,9,3,120.7,1,0,0,1,0,0,20,0,13.2,0,Dropout
1,1,1,137,19,38,5,8,137.4,1,0,0,1,0,0,18,0,12,11,Enrolled
1,1,1,135,19,1,5,4,127.3,1,0,0,1,0,0,18,0,13.30625,14.545,Graduate
1,1,1,137,3,19,3,5,136.3,1,0,0,1,0,0,20,0,12.5,12.25,Graduate
1,1,1,140,19,19,7,7,124.6,1,0,0,1,0,0,18,0,11.66666667,13.5,Enrolled
1,1,1,122,1,1,9,8,120.3,0,0,0,1,0,1,21,0,0,0,Graduate
1,1,1,127,1,38,4,7,121.8,1,0,0,1,0,0,20,0,11.4375,11.425,Enrolled
1,1,1,142,19,19,1,1,125.5,1,0,0,1,0,0,18,0,12.85714286,12.85714286,Graduate
1,1,1,125,1,38,4,7,114.9,1,0,0,1,0,1,19,0,13.375,12.28571429,Graduate
1,1,1,126,19,19,3,7,123.9,0,0,0,1,0,0,19,0,13.29666667,14.11428571,Graduate
1,1,1,151,19,38,9,9,157,1,0,1,1,0,1,18,0,11.6,11,Enrolled
1,1,1,115,19,38,7,8,116.4,1,0,0,1,0,0,21,0,11.375,13.28571429,Graduate
1,1,1,138,19,19,3,3,131,1,0,0,1,0,0,18,0,12.66666667,13,Enrolled
1,1,1,135,19,1,9,9,122.1,1,0,0,1,0,0,20,0,12,12.33333333,Graduate
1,1,1,127,3,3,1,10,118.8,1,0,0,1,1,0,19,0,12.93333333,13.71666667,Enrolled
1,1,39,150,4,5,4,2,150,0,0,0,1,1,0,21,0,11.85714286,10.57142857,Enrolled
1,1,1,125,42,3,125,124,130,1,0,0,1,1,0,20,0,12.83333333,13.4,Graduate
1,1,1,143,1,1,4,6,138.8,0,0,0,0,1,0,18,0,11.33333333,13.5,Enrolled
1,0,1,138,19,1,9,5,134.5,1,0,0,1,0,0,19,0,12.66666667,14.375,Graduate
1,0,1,130,2,37,3,9,131.4,0,0,0,1,1,0,34,0,12.4,13.42857143,Graduate
1,1,1,130,38,37,9,6,102.5,0,0,1,0,1,0,37,0,0,10,Dropout
1,1,10,133.1,34,37,0,0,128.8,1,0,0,1,1,0,43,0,0,0,Dropout
1,1,1,140,37,37,6,6,122.9,0,0,0,1,0,0,55,0,10,12,Dropout
4,0,1,120,19,19,9,3,113.9,1,0,0,1,0,0,39,0,11,11.6,Graduate
1,1,39,120,4,4,3,6,120,0,0,1,0,0,0,20,1,11.66666667,12,Dropout
1,1,1,126,3,3,2,2,121.1,0,0,1,1,0,0,18,0,12.75,0,Dropout
1,1,1,133,3,19,2,7,120.4,1,0,0,1,0,0,22,0,14.8,15.8,Graduate
